feat,lrp
A,-0.0048444046288416255
C,-0.005432196952869773
T,-0.006977311752575669
G,-0.011653605235176674
Histone_H3T45ph,-0.003527972550958703
TFs_and_others_PCGF2,-0.0020198830746933896
TFs_and_others_NFRKB,-0.000659577502035095
Histone_H2BK120ub1,-0.0005737533371937196
TFs_and_others_CEBPA,-0.0003994804137732471
TFs_and_others_ZNF326,-0.00014146281760276286
TFs_and_others_GMEB1,-5.391347206359242e-05
TFs_and_others_PPARGC1A,-3.004791776039768e-05
TFs_and_others_ZNF232,-2.6479236034141083e-05
TFs_and_others_BRCA1,-2.3828173531102004e-05
TFs_and_others_ZNF79,-2.778809917966339e-05
TFs_and_others_TRIM28,-7.850689979831936e-05
TFs_and_others_ZNF761,-3.667236597743789e-05
TFs_and_others_TLX1,-3.86491624588821e-05
TFs_and_others_LDB1,-3.980104063981309e-05
TFs_and_others_ZNF668,-5.751747907973929e-05
TFs_and_others_FLI1,-0.00021202355902184627
TFs_and_others_STAT5,-6.671805516895455e-05
TFs_and_others_ZNF837,-5.082616586905113e-05
TFs_and_others_ZNF41,-3.7790128982267537e-05
RNA_polymerase_POLR3A,-3.6994061283446584e-05
TFs_and_others_TBX3,-3.6118614294084766e-05
TFs_and_others_EBV-ZEBRA,-4.1983703072084365e-05
TFs_and_others_PHB2,-2.958073740569805e-05
TFs_and_others_SMARCE1,-4.564485706554063e-05
TFs_and_others_AGO1,-3.220400794331199e-05
TFs_and_others_ZNF493,-2.7785872667138617e-05
TFs_and_others_MSC,-2.5798026199766128e-05
TFs_and_others_NXF1,-2.4614660174328404e-05
Histone_H3R8me2,-3.261890336393904e-05
TFs_and_others_CDKN1B,-8.261546389570921e-05
TFs_and_others_ZNF253,-3.840302860457253e-05
TFs_and_others_PROX1,-3.692408933083113e-05
TFs_and_others_ZNF529,-2.8895876125411905e-05
TFs_and_others_HOXD13,-2.796144598155095e-05
TFs_and_others_LHX2,-2.8412438064871177e-05
TFs_and_others_KLF8,-3.219238822989897e-05
TFs_and_others_ZNF791,-3.187143287424429e-05
TFs_and_others_TRF2,-3.9063834837780315e-05
TFs_and_others_UPF1,-7.16188107126153e-05
TFs_and_others_KLF5,-0.00012516409779199391
TFs_and_others_TRAFD1,-0.00018376125008102252
TFs_and_others_ESRRG,-0.00011573936447270459
TFs_and_others_RFX5,-0.0004994681172496815
Histone_H3K27me3,-0.0030407578313525175
TFs_and_others_BRPF3,-0.0007266185840758033
Histone_H2AK120Ub,-0.0005315529183483524
TFs_and_others_ZNF30,-0.00031007999344151687
TFs_and_others_NRP2,-0.00020511288592992154
TFs_and_others_ZNF17,-0.0001039206477793694
TFs_and_others_AEBP2,-5.8544864227036194e-05
TFs_and_others_HEXIM1,-4.482319156599109e-05
TFs_and_others_ID4,-2.8210977394733273e-05
TFs_and_others_ZNF280C,-2.697447579806837e-05
TFs_and_others_TRIM25,-3.2372385354462595e-05
TFs_and_others_ZSCAN5C,-2.808777996676011e-05
TFs_and_others_ZNF395,-2.8919561313568324e-05
TFs_and_others_RFX2,-2.6111188238386773e-05
TFs_and_others_L3MBTL3,-2.5835817930684414e-05
TFs_and_others_ZNF7,-2.7403730198027635e-05
TFs_and_others_DDX39B,-2.44973013591002e-05
TFs_and_others_PPP2R1A,-4.0184825457989404e-05
TFs_and_others_TFE3,-0.00012961990327356752
TFs_and_others_PTBP1,-5.2064478260743354e-05
TFs_and_others_PBRM1,-4.431956995370073e-05
TFs_and_others_ATF7IP,-4.7771026587875734e-05
TFs_and_others_CHD7,-0.00012197391283167267
TFs_and_others_CRX,-5.2878132854366205e-05
TFs_and_others_TFB2M,-4.4193531771096424e-05
TFs_and_others_ETV1,-5.2058450210479176e-05
TFs_and_others_ZMYND8,-4.9729431308133615e-05
TFs_and_others_IRF2,-4.574495937740334e-05
TFs_and_others_NR4A1,-3.0143062599266634e-05
TFs_and_others_MBNL3,-2.9995624265793006e-05
TFs_and_others_ARID4A,-5.614256534652962e-05
